UNIXTime,Data,Time,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet,Radiation
1475223919,9/29/2016 12:00:00 AM,22:25:19,50,30.47,98,91.43,6.75,06:13:00,18:13:00,1.22
1475223622,9/29/2016 12:00:00 AM,22:20:22,50,30.47,98,109.74,6.75,06:13:00,18:13:00,1.2
1475223322,9/29/2016 12:00:00 AM,22:15:22,50,30.47,98,143.53,2.25,06:13:00,18:13:00,1.2
1475223021,9/29/2016 12:00:00 AM,22:10:21,50,30.47,97,146.76,5.62,06:13:00,18:13:00,1.2
1475222720,9/29/2016 12:00:00 AM,22:05:20,50,30.47,97,158.35,4.5,06:13:00,18:13:00,1.21
1475222426,9/29/2016 12:00:00 AM,22:00:26,50,30.47,97,166.05,5.62,06:13:00,18:13:00,1.22
1475222120,9/29/2016 12:00:00 AM,21:55:20,50,30.47,96,151.82,5.62,06:13:00,18:13:00,1.22
1475221832,9/29/2016 12:00:00 AM,21:50:32,50,30.47,96,152.52,6.75,06:13:00,18:13:00,1.22
1475221528,9/29/2016 12:00:00 AM,21:45:28,50,30.47,95,127.82,7.87,06:13:00,18:13:00,1.24
1475221220,9/29/2016 12:00:00 AM,21:40:20,50,30.47,95,157.58,6.75,06:13:00,18:13:00,1.23
1475220921,9/29/2016 12:00:00 AM,21:35:21,50,30.47,95,172.96,7.87,06:13:00,18:13:00,1.23
1475220621,9/29/2016 12:00:00 AM,21:30:21,50,30.47,95,143.82,6.75,06:13:00,18:13:00,1.23
1475220322,9/29/2016 12:00:00 AM,21:25:22,50,30.47,94,154.03,5.62,06:13:00,18:13:00,1.24
1475220021,9/29/2016 12:00:00 AM,21:20:21,50,30.47,93,165.93,4.5,06:13:00,18:13:00,1.2
1475219723,9/29/2016 12:00:00 AM,21:15:23,50,30.47,93,139.82,7.87,06:13:00,18:13:00,1.24
1475219420,9/29/2016 12:00:00 AM,21:10:20,49,30.47,93,166.07,9,06:13:00,18:13:00,1.21
1475219126,9/29/2016 12:00:00 AM,21:05:26,50,30.47,93,116.16,5.62,06:13:00,18:13:00,1.24
1475218820,9/29/2016 12:00:00 AM,21:00:20,50,30.47,92,157.48,4.5,06:13:00,18:13:00,1.2
1475218518,9/29/2016 12:00:00 AM,20:55:18,50,30.47,91,112.27,7.87,06:13:00,18:13:00,1.19
1475218220,9/29/2016 12:00:00 AM,20:50:20,50,30.47,90,133.69,6.75,06:13:00,18:13:00,1.25
1475217924,9/29/2016 12:00:00 AM,20:45:24,50,30.47,88,140.64,6.75,06:13:00,18:13:00,1.25
1475217619,9/29/2016 12:00:00 AM,20:40:19,50,30.47,87,52.89,1.12,06:13:00,18:13:00,1.23
1475217319,9/29/2016 12:00:00 AM,20:35:19,50,30.47,86,132.66,4.5,06:13:00,18:13:00,1.21
1475217018,9/29/2016 12:00:00 AM,20:30:18,50,30.46,85,138.35,5.62,06:13:00,18:13:00,1.25
1475216720,9/29/2016 12:00:00 AM,20:25:20,50,30.46,84,109.87,3.37,06:13:00,18:13:00,1.23
1475216423,9/29/2016 12:00:00 AM,20:20:23,50,30.47,81,123.25,3.37,06:13:00,18:13:00,1.23
1475216120,9/29/2016 12:00:00 AM,20:15:20,50,30.46,75,158.64,4.5,06:13:00,18:13:00,1.26
1475215822,9/29/2016 12:00:00 AM,20:10:22,50,30.46,70,165.22,5.62,06:13:00,18:13:00,1.17
1475215522,9/29/2016 12:00:00 AM,20:05:22,50,30.46,63,160.51,3.37,06:13:00,18:13:00,1.22
1475215218,9/29/2016 12:00:00 AM,20:00:18,50,30.46,51,155.36,4.5,06:13:00,18:13:00,1.22
1475214923,9/29/2016 12:00:00 AM,19:55:23,50,30.46,47,157.78,6.75,06:13:00,18:13:00,1.22
1475214622,9/29/2016 12:00:00 AM,19:50:22,50,30.46,46,151.6,3.37,06:13:00,18:13:00,1.24
1475214325,9/29/2016 12:00:00 AM,19:45:25,50,30.46,47,105.78,4.5,06:13:00,18:13:00,1.25
1475214022,9/29/2016 12:00:00 AM,19:40:22,50,30.46,48,135.55,4.5,06:13:00,18:13:00,1.19
1475213722,9/29/2016 12:00:00 AM,19:35:22,50,30.46,56,140.92,4.5,06:13:00,18:13:00,1.19
1475213420,9/29/2016 12:00:00 AM,19:30:20,50,30.46,57,165,4.5,06:13:00,18:13:00,1.23
1475213121,9/29/2016 12:00:00 AM,19:25:21,51,30.46,55,126.63,3.37,06:13:00,18:13:00,1.19
1475212820,9/29/2016 12:00:00 AM,19:20:20,51,30.46,54,119.97,4.5,06:13:00,18:13:00,1.23
1475212522,9/29/2016 12:00:00 AM,19:15:22,51,30.45,53,95.57,2.25,06:13:00,18:13:00,1.22
1475212224,9/29/2016 12:00:00 AM,19:10:24,51,30.45,51,100.02,4.5,06:13:00,18:13:00,1.24
1475211920,9/29/2016 12:00:00 AM,19:05:20,51,30.45,51,111.73,2.25,06:13:00,18:13:00,1.24
1475211624,9/29/2016 12:00:00 AM,19:00:24,51,30.45,52,145.77,5.62,06:13:00,18:13:00,1.23
1475211319,9/29/2016 12:00:00 AM,18:55:19,51,30.45,51,105.89,6.75,06:13:00,18:13:00,1.23
1475211024,9/29/2016 12:00:00 AM,18:50:24,51,30.45,52,120.86,5.62,06:13:00,18:13:00,1.24
1475210719,9/29/2016 12:00:00 AM,18:45:19,51,30.44,55,170.11,5.62,06:13:00,18:13:00,1.23
1475210421,9/29/2016 12:00:00 AM,18:40:21,52,30.44,55,107.15,5.62,06:13:00,18:13:00,1.21
1475210121,9/29/2016 12:00:00 AM,18:35:21,52,30.44,55,129.29,6.75,06:13:00,18:13:00,1.24
1475209823,9/29/2016 12:00:00 AM,18:30:23,52,30.45,59,158.73,3.37,06:13:00,18:13:00,1.18
1475209519,9/29/2016 12:00:00 AM,18:25:19,52,30.44,59,211.38,2.25,06:13:00,18:13:00,1.52
1475209223,9/29/2016 12:00:00 AM,18:20:23,53,30.44,61,174.97,4.5,06:13:00,18:13:00,5.07
1475208921,9/29/2016 12:00:00 AM,18:15:21,53,30.44,62,120.78,7.87,06:13:00,18:13:00,6.16
1475208652,9/29/2016 12:00:00 AM,18:10:52,53,30.44,59,118.82,5.62,06:13:00,18:13:00,6.63
1475208322,9/29/2016 12:00:00 AM,18:05:22,54,30.44,59,154.16,4.5,06:13:00,18:13:00,10.96
1475208022,9/29/2016 12:00:00 AM,18:00:22,55,30.44,57,58.42,6.75,06:13:00,18:13:00,19.42
1475207722,9/29/2016 12:00:00 AM,17:55:22,55,30.44,53,47.86,4.5,06:13:00,18:13:00,27.14
1475207419,9/29/2016 12:00:00 AM,17:50:19,56,30.44,52,74.56,2.25,06:13:00,18:13:00,33.75
1475207122,9/29/2016 12:00:00 AM,17:45:22,56,30.44,49,25.72,6.75,06:13:00,18:13:00,49.57
1475206822,9/29/2016 12:00:00 AM,17:40:22,56,30.44,50,102.11,2.25,06:13:00,18:13:00,59.62
1475206538,9/29/2016 12:00:00 AM,17:35:38,56,30.44,48,67.49,3.37,06:13:00,18:13:00,87.23
1475206225,9/29/2016 12:00:00 AM,17:30:25,56,30.43,49,180.29,2.25,06:13:00,18:13:00,109.93
1475205925,9/29/2016 12:00:00 AM,17:25:25,57,30.43,57,150.2,2.25,06:13:00,18:13:00,130.82
1475205625,9/29/2016 12:00:00 AM,17:20:25,57,30.43,55,47.3,5.62,06:13:00,18:13:00,160.52
1475205320,9/29/2016 12:00:00 AM,17:15:20,58,30.43,52,333.81,1.12,06:13:00,18:13:00,191.37
1475205020,9/29/2016 12:00:00 AM,17:10:20,58,30.43,49,41.62,4.5,06:13:00,18:13:00,207.05
1475204722,9/29/2016 12:00:00 AM,17:05:22,58,30.43,45,132.36,5.62,06:13:00,18:13:00,240.99
1475204424,9/29/2016 12:00:00 AM,17:00:24,58,30.43,41,332.09,4.5,06:13:00,18:13:00,274.83
1475204125,9/29/2016 12:00:00 AM,16:55:25,58,30.43,55,45.88,3.37,06:13:00,18:13:00,300.94
1475203822,9/29/2016 12:00:00 AM,16:50:22,58,30.43,56,94.24,7.87,06:13:00,18:13:00,322.71
1475203538,9/29/2016 12:00:00 AM,16:45:38,58,30.43,50,81.57,6.75,06:13:00,18:13:00,346.59
1475203220,9/29/2016 12:00:00 AM,16:40:20,58,30.43,49,351.03,7.87,06:13:00,18:13:00,364.18
1475202941,9/29/2016 12:00:00 AM,16:35:41,58,30.43,51,78.81,5.62,06:13:00,18:13:00,368.35
1475202622,9/29/2016 12:00:00 AM,16:30:22,58,30.43,46,85.96,5.62,06:13:00,18:13:00,362.84
1475202321,9/29/2016 12:00:00 AM,16:25:21,59,30.43,48,19.78,4.5,06:13:00,18:13:00,423.9
1475202025,9/29/2016 12:00:00 AM,16:20:25,58,30.43,59,18.26,4.5,06:13:00,18:13:00,457.69
1475201723,9/29/2016 12:00:00 AM,16:15:23,58,30.43,52,69.08,3.37,06:13:00,18:13:00,511.38
1475201422,9/29/2016 12:00:00 AM,16:10:22,58,30.43,52,40.87,4.5,06:13:00,18:13:00,566.83
1475201120,9/29/2016 12:00:00 AM,16:05:20,58,30.43,49,0.13,4.5,06:13:00,18:13:00,187.96
1475200820,9/29/2016 12:00:00 AM,16:00:20,59,30.43,58,27.34,9,06:13:00,18:13:00,310.59
1475200522,9/29/2016 12:00:00 AM,15:55:22,59,30.43,46,359.93,3.37,06:13:00,18:13:00,230.26
1475200221,9/29/2016 12:00:00 AM,15:50:21,60,30.43,46,22.18,7.87,06:13:00,18:13:00,623.31
1475199922,9/29/2016 12:00:00 AM,15:45:22,60,30.43,48,4.38,10.12,06:13:00,18:13:00,312.1
1475199624,9/29/2016 12:00:00 AM,15:40:24,60,30.43,44,355.03,7.87,06:13:00,18:13:00,803.72
1475199319,9/29/2016 12:00:00 AM,15:35:19,60,30.42,47,0.4,7.87,06:13:00,18:13:00,671.97
1475199020,9/29/2016 12:00:00 AM,15:30:20,60,30.42,51,53.16,4.5,06:13:00,18:13:00,670.32
1475198721,9/29/2016 12:00:00 AM,15:25:21,60,30.42,48,353.87,9,06:13:00,18:13:00,679.73
1475198424,9/29/2016 12:00:00 AM,15:20:24,60,30.43,54,2.04,4.5,06:13:00,18:13:00,687.62
1475198118,9/29/2016 12:00:00 AM,15:15:18,61,30.42,53,34.85,11.25,06:13:00,18:13:00,697.66
1475197821,9/29/2016 12:00:00 AM,15:10:21,61,30.42,44,11.08,7.87,06:13:00,18:13:00,716.27
1475197523,9/29/2016 12:00:00 AM,15:05:23,61,30.43,50,1.6,5.62,06:13:00,18:13:00,744.43
1475197330,9/29/2016 12:00:00 AM,15:02:10,61,30.42,53,345.21,7.87,06:13:00,18:13:00,612.34
1475196921,9/29/2016 12:00:00 AM,14:55:21,61,30.42,50,165.42,4.5,06:13:00,18:13:00,760.9
1475196621,9/29/2016 12:00:00 AM,14:50:21,61,30.42,57,30.3,6.75,06:13:00,18:13:00,773.71
1475196318,9/29/2016 12:00:00 AM,14:45:18,61,30.42,59,34.24,3.37,06:13:00,18:13:00,790.08
1475196023,9/29/2016 12:00:00 AM,14:40:23,61,30.42,59,19.11,7.87,06:13:00,18:13:00,804.28
1475195724,9/29/2016 12:00:00 AM,14:35:24,61,30.42,53,84.61,6.75,06:13:00,18:13:00,818.82
1475195419,9/29/2016 12:00:00 AM,14:30:19,62,30.42,51,31.88,5.62,06:13:00,18:13:00,855.63
1475195120,9/29/2016 12:00:00 AM,14:25:20,62,30.42,58,149.48,3.37,06:13:00,18:13:00,875.16
1475194821,9/29/2016 12:00:00 AM,14:20:21,62,30.42,54,62.54,3.37,06:13:00,18:13:00,867.9
1475194527,9/29/2016 12:00:00 AM,14:15:27,62,30.43,58,39.59,5.62,06:13:00,18:13:00,872.67
1475194220,9/29/2016 12:00:00 AM,14:10:20,62,30.43,50,122.13,4.5,06:13:00,18:13:00,890.52
1475193619,9/29/2016 12:00:00 AM,14:00:19,62,30.43,53,65.07,7.87,06:13:00,18:13:00,911.06
1475193320,9/29/2016 12:00:00 AM,13:55:20,62,30.43,49,69.79,7.87,06:13:00,18:13:00,925.16
1475193020,9/29/2016 12:00:00 AM,13:50:20,62,30.43,47,346.87,5.62,06:13:00,18:13:00,933.15
1475192721,9/29/2016 12:00:00 AM,13:45:21,62,30.43,53,359.93,5.62,06:13:00,18:13:00,942.73
1475192421,9/29/2016 12:00:00 AM,13:40:21,62,30.43,50,9.92,4.5,06:13:00,18:13:00,955.74
1475192121,9/29/2016 12:00:00 AM,13:35:21,62,30.43,54,19.98,9,06:13:00,18:13:00,959.47
1475191820,9/29/2016 12:00:00 AM,13:30:20,62,30.43,57,0.9,6.75,06:13:00,18:13:00,970.22
1475191518,9/29/2016 12:00:00 AM,13:25:18,62,30.43,54,19.13,11.25,06:13:00,18:13:00,974.87
1475191220,9/29/2016 12:00:00 AM,13:20:20,62,30.44,53,61.93,7.87,06:13:00,18:13:00,985.22
1475190925,9/29/2016 12:00:00 AM,13:15:25,62,30.43,50,63.35,10.12,06:13:00,18:13:00,992.19
1475190622,9/29/2016 12:00:00 AM,13:10:22,62,30.44,56,171.18,7.87,06:13:00,18:13:00,997.26
1475190322,9/29/2016 12:00:00 AM,13:05:22,62,30.44,54,45.65,7.87,06:13:00,18:13:00,1004.6
1475190019,9/29/2016 12:00:00 AM,13:00:19,63,30.44,54,15.92,11.25,06:13:00,18:13:00,1007.96
1475189722,9/29/2016 12:00:00 AM,12:55:22,63,30.44,54,130.14,9,06:13:00,18:13:00,1013.59
1475189420,9/29/2016 12:00:00 AM,12:50:20,62,30.44,51,21.54,10.12,06:13:00,18:13:00,1020.55
1475189119,9/29/2016 12:00:00 AM,12:45:19,62,30.44,45,70.89,15.75,06:13:00,18:13:00,1025.63
1475188820,9/29/2016 12:00:00 AM,12:40:20,63,30.45,46,59.62,12.37,06:13:00,18:13:00,1029.41
1475188520,9/29/2016 12:00:00 AM,12:35:20,63,30.45,43,79.08,7.87,06:13:00,18:13:00,1034.46
1475188219,9/29/2016 12:00:00 AM,12:30:19,63,30.45,43,359.46,5.62,06:13:00,18:13:00,1033.54
1475187921,9/29/2016 12:00:00 AM,12:25:21,63,30.45,40,59.89,4.5,06:13:00,18:13:00,1039.06
1475187620,9/29/2016 12:00:00 AM,12:20:20,63,30.45,39,40.66,6.75,06:13:00,18:13:00,1039.67
1475187320,9/29/2016 12:00:00 AM,12:15:20,64,30.46,41,20.44,14.62,06:13:00,18:13:00,1037.76
1475187024,9/29/2016 12:00:00 AM,12:10:24,64,30.45,41,40.4,13.5,06:13:00,18:13:00,1039.52
1475186720,9/29/2016 12:00:00 AM,12:05:20,63,30.45,41,117.62,4.5,06:13:00,18:13:00,1040.14
1475186427,9/29/2016 12:00:00 AM,12:00:27,63,30.46,42,354.78,1.12,06:13:00,18:13:00,1039.22
1475186120,9/29/2016 12:00:00 AM,11:55:20,63,30.46,41,35.68,4.5,06:13:00,18:13:00,1035.99
1475185820,9/29/2016 12:00:00 AM,11:50:20,63,30.46,39,350,5.62,06:13:00,18:13:00,1033.49
1475185518,9/29/2016 12:00:00 AM,11:45:18,63,30.46,41,14.63,9,06:13:00,18:13:00,1029.15
1475185220,9/29/2016 12:00:00 AM,11:40:20,63,30.46,41,349.53,2.25,06:13:00,18:13:00,1025.51
1475184919,9/29/2016 12:00:00 AM,11:35:19,63,30.46,41,31.9,9,06:13:00,18:13:00,1023.78
1475184622,9/29/2016 12:00:00 AM,11:30:22,63,30.47,37,339.83,3.37,06:13:00,18:13:00,1017.57
1475184320,9/29/2016 12:00:00 AM,11:25:20,63,30.47,34,67.14,11.25,06:13:00,18:13:00,1013.93
1475184021,9/29/2016 12:00:00 AM,11:20:21,63,30.47,34,61.67,9,06:13:00,18:13:00,1009.36
1475183722,9/29/2016 12:00:00 AM,11:15:22,63,30.47,33,32.74,6.75,06:13:00,18:13:00,1002.89
1475183516,9/29/2016 12:00:00 AM,11:11:56,63,30.47,31,4.51,6.75,06:13:00,18:13:00,999.19
1475183122,9/29/2016 12:00:00 AM,11:05:22,62,30.47,36,38.9,10.12,06:13:00,18:13:00,987.02
1475182823,9/29/2016 12:00:00 AM,11:00:23,63,30.47,40,28.85,7.87,06:13:00,18:13:00,981.66
1475182521,9/29/2016 12:00:00 AM,10:55:21,63,30.47,35,114.97,5.62,06:13:00,18:13:00,973.79
1475182222,9/29/2016 12:00:00 AM,10:50:22,63,30.47,37,60.94,6.75,06:13:00,18:13:00,964.46
1475181920,9/29/2016 12:00:00 AM,10:45:20,62,30.47,40,37.85,7.87,06:13:00,18:13:00,957.02
1475181622,9/29/2016 12:00:00 AM,10:40:22,62,30.47,44,38.03,11.25,06:13:00,18:13:00,946.32
1475181322,9/29/2016 12:00:00 AM,10:35:22,62,30.47,45,37.37,11.25,06:13:00,18:13:00,933.08
1475181021,9/29/2016 12:00:00 AM,10:30:21,62,30.47,43,10.44,5.62,06:13:00,18:13:00,926.79
1475180719,9/29/2016 12:00:00 AM,10:25:19,62,30.47,42,5.51,11.25,06:13:00,18:13:00,915.84
1475180419,9/29/2016 12:00:00 AM,10:20:19,62,30.47,42,24.74,9,06:13:00,18:13:00,901.65
1475180123,9/29/2016 12:00:00 AM,10:15:23,61,30.47,46,37.67,7.87,06:13:00,18:13:00,899.53
1475179820,9/29/2016 12:00:00 AM,10:10:20,62,30.47,49,61.93,7.87,06:13:00,18:13:00,878.76
1475179523,9/29/2016 12:00:00 AM,10:05:23,61,30.47,44,359.93,6.75,06:13:00,18:13:00,867.98
1475179225,9/29/2016 12:00:00 AM,10:00:25,62,30.47,41,26.99,7.87,06:13:00,18:13:00,855.89
1475178921,9/29/2016 12:00:00 AM,09:55:21,61,30.47,42,21.37,9,06:13:00,18:13:00,841.52
1475178622,9/29/2016 12:00:00 AM,09:50:22,62,30.47,38,52.73,10.12,06:13:00,18:13:00,830.19
1475178319,9/29/2016 12:00:00 AM,09:45:19,62,30.47,39,61.67,6.75,06:13:00,18:13:00,815.1
1475178020,9/29/2016 12:00:00 AM,09:40:20,62,30.47,41,42.59,5.62,06:13:00,18:13:00,799.29
1475177725,9/29/2016 12:00:00 AM,09:35:25,61,30.47,41,37.83,7.87,06:13:00,18:13:00,785.6
1475177421,9/29/2016 12:00:00 AM,09:30:21,61,30.47,45,7.14,7.87,06:13:00,18:13:00,768.39
1475177119,9/29/2016 12:00:00 AM,09:25:19,61,30.47,44,186.9,4.5,06:13:00,18:13:00,754.06
1475176822,9/29/2016 12:00:00 AM,09:20:22,61,30.47,43,7.25,7.87,06:13:00,18:13:00,738.75
1475176523,9/29/2016 12:00:00 AM,09:15:23,61,30.46,44,33.19,11.25,06:13:00,18:13:00,722.23
1475176223,9/29/2016 12:00:00 AM,09:10:23,61,30.46,44,56.91,6.75,06:13:00,18:13:00,706.41
1475175921,9/29/2016 12:00:00 AM,09:05:21,61,30.46,45,70.29,3.37,06:13:00,18:13:00,686.3
1475175626,9/29/2016 12:00:00 AM,09:00:26,60,30.46,49,16.18,9,06:13:00,18:13:00,669.11
1475175321,9/29/2016 12:00:00 AM,08:55:21,61,30.46,47,52.76,2.25,06:13:00,18:13:00,652.51
1475175023,9/29/2016 12:00:00 AM,08:50:23,61,30.46,41,14.96,6.75,06:13:00,18:13:00,634.99
1475174727,9/29/2016 12:00:00 AM,08:45:27,61,30.46,31,19.08,7.87,06:13:00,18:13:00,617.87
1475174421,9/29/2016 12:00:00 AM,08:40:21,61,30.46,34,0.1,2.25,06:13:00,18:13:00,597.41
1475174122,9/29/2016 12:00:00 AM,08:35:22,61,30.46,31,24.56,4.5,06:13:00,18:13:00,578.24
1475173821,9/29/2016 12:00:00 AM,08:30:21,60,30.46,35,41.61,1.12,06:13:00,18:13:00,559.23
1475173521,9/29/2016 12:00:00 AM,08:25:21,60,30.46,37,31.05,3.37,06:13:00,18:13:00,538.41
1475173223,9/29/2016 12:00:00 AM,08:20:23,60,30.46,41,25.35,4.5,06:13:00,18:13:00,519.16
1475172921,9/29/2016 12:00:00 AM,08:15:21,60,30.45,40,3.77,3.37,06:13:00,18:13:00,499.21
1475172619,9/29/2016 12:00:00 AM,08:10:19,60,30.45,40,17.86,3.37,06:13:00,18:13:00,478.48
1475172318,9/29/2016 12:00:00 AM,08:05:18,59,30.45,40,74.63,1.12,06:13:00,18:13:00,458.27
1475172024,9/29/2016 12:00:00 AM,08:00:24,59,30.45,45,64.84,2.25,06:13:00,18:13:00,438.05
1475171719,9/29/2016 12:00:00 AM,07:55:19,60,30.44,30,53.32,5.62,06:13:00,18:13:00,416.28
1475171419,9/29/2016 12:00:00 AM,07:50:19,59,30.44,31,75.7,3.37,06:13:00,18:13:00,395.14
1475171120,9/29/2016 12:00:00 AM,07:45:20,58,30.44,34,58.43,2.25,06:13:00,18:13:00,373.7
1475170819,9/29/2016 12:00:00 AM,07:40:19,57,30.43,34,113.5,1.12,06:13:00,18:13:00,352.56
1475170221,9/29/2016 12:00:00 AM,07:30:21,54,30.43,38,146.52,1.12,06:13:00,18:13:00,305.78
1475169921,9/29/2016 12:00:00 AM,07:25:21,52,30.43,42,142.16,2.25,06:13:00,18:13:00,278.29
1475169628,9/29/2016 12:00:00 AM,07:20:28,51,30.43,44,151.94,2.25,06:13:00,18:13:00,251.51
1475169324,9/29/2016 12:00:00 AM,07:15:24,50,30.43,46,143.23,4.5,06:13:00,18:13:00,222.48
1475169022,9/29/2016 12:00:00 AM,07:10:22,49,30.43,47,172.83,3.37,06:13:00,18:13:00,164.44
1475168723,9/29/2016 12:00:00 AM,07:05:23,48,30.43,48,176.93,4.5,06:13:00,18:13:00,21.36
1475168425,9/29/2016 12:00:00 AM,07:00:25,48,30.42,50,182.88,5.62,06:13:00,18:13:00,20
1475168123,9/29/2016 12:00:00 AM,06:55:23,48,30.42,51,173.07,7.87,06:13:00,18:13:00,19.24
1475167819,9/29/2016 12:00:00 AM,06:50:19,47,30.42,53,191.44,7.87,06:13:00,18:13:00,18.33
1475167520,9/29/2016 12:00:00 AM,06:45:20,47,30.42,54,193.99,9,06:13:00,18:13:00,17.31
1475167222,9/29/2016 12:00:00 AM,06:40:22,47,30.42,55,190.38,10.12,06:13:00,18:13:00,16.09
1475166919,9/29/2016 12:00:00 AM,06:35:19,47,30.42,56,179.45,10.12,06:13:00,18:13:00,14.73
1475166620,9/29/2016 12:00:00 AM,06:30:20,47,30.42,57,188.58,6.75,06:13:00,18:13:00,12.53
1475166321,9/29/2016 12:00:00 AM,06:25:21,47,30.42,57,188.37,7.87,06:13:00,18:13:00,9.86
1475166020,9/29/2016 12:00:00 AM,06:20:20,47,30.41,58,192.09,7.87,06:13:00,18:13:00,7.7
1475165722,9/29/2016 12:00:00 AM,06:15:22,47,30.41,61,157.11,7.87,06:13:00,18:13:00,6.17
1475165423,9/29/2016 12:00:00 AM,06:10:23,47,30.41,62,177.65,6.75,06:13:00,18:13:00,4.32
1475165120,9/29/2016 12:00:00 AM,06:05:20,47,30.41,62,187.76,7.87,06:13:00,18:13:00,2.34
1475164824,9/29/2016 12:00:00 AM,06:00:24,47,30.41,61,185.73,7.87,06:13:00,18:13:00,1.47
1475164525,9/29/2016 12:00:00 AM,05:55:25,47,30.41,60,184.95,9,06:13:00,18:13:00,1.21
1475164221,9/29/2016 12:00:00 AM,05:50:21,47,30.41,59,182.07,9,06:13:00,18:13:00,1.23
1475163921,9/29/2016 12:00:00 AM,05:45:21,46,30.41,58,184.89,10.12,06:13:00,18:13:00,1.24
1475163621,9/29/2016 12:00:00 AM,05:40:21,46,30.4,59,190.62,7.87,06:13:00,18:13:00,1.23
1475163326,9/29/2016 12:00:00 AM,05:35:26,46,30.4,58,188.4,7.87,06:13:00,18:13:00,1.21
1475163027,9/29/2016 12:00:00 AM,05:30:27,46,30.4,58,193.81,5.62,06:13:00,18:13:00,1.21
1475162722,9/29/2016 12:00:00 AM,05:25:22,45,30.4,56,191.32,6.75,06:13:00,18:13:00,1.22
1475162424,9/29/2016 12:00:00 AM,05:20:24,45,30.4,56,184.3,5.62,06:13:00,18:13:00,1.22
1475162121,9/29/2016 12:00:00 AM,05:15:21,45,30.4,55,174.74,4.5,06:13:00,18:13:00,1.2
1475161822,9/29/2016 12:00:00 AM,05:10:22,45,30.4,55,184.56,6.75,06:13:00,18:13:00,1.2
1475161520,9/29/2016 12:00:00 AM,05:05:20,46,30.4,55,165.66,6.75,06:13:00,18:13:00,1.16
1475161222,9/29/2016 12:00:00 AM,05:00:22,46,30.4,53,177.23,4.5,06:13:00,18:13:00,1.15
1475160925,9/29/2016 12:00:00 AM,04:55:25,46,30.4,51,173.92,4.5,06:13:00,18:13:00,1.18
1475160625,9/29/2016 12:00:00 AM,04:50:25,46,30.4,50,174.53,5.62,06:13:00,18:13:00,1.18
1475160320,9/29/2016 12:00:00 AM,04:45:20,46,30.4,50,163.85,3.37,06:13:00,18:13:00,1.18
1475160021,9/29/2016 12:00:00 AM,04:40:21,46,30.4,49,166.26,4.5,06:13:00,18:13:00,1.19
1475159719,9/29/2016 12:00:00 AM,04:35:19,46,30.39,49,176.34,3.37,06:13:00,18:13:00,1.18
1475159425,9/29/2016 12:00:00 AM,04:30:25,46,30.39,48,170.62,5.62,06:13:00,18:13:00,1.2
1475159125,9/29/2016 12:00:00 AM,04:25:25,46,30.39,47,176.8,3.37,06:13:00,18:13:00,1.17
1475158821,9/29/2016 12:00:00 AM,04:20:21,46,30.39,47,170.45,4.5,06:13:00,18:13:00,1.17
1475158529,9/29/2016 12:00:00 AM,04:15:29,46,30.39,45,180.3,3.37,06:13:00,18:13:00,1.18
